tamanho_arquivos,tamanho_adicionadas,tamanho_removidas,tempo_analise,descricao,num_participantes,num_comentarios,repository
12.0,343.0,41.0,15 days 20:41:26.750000,31.25,2.75,1.5,521xueweihan-HelloGitHub
1.0,12.5,1.5,0 days 10:28:55.916666666,50.0,15.25,13.666666666666666,996icu-996.ICU
1.0,33.0,5.0,3 days 06:20:56,39.0,3.0,1.0,airbnb-javascript
7.242301458670989,184.67017828200972,111.4935170178282,3 days 15:58:57.730145867,532.8290113452188,2.4902755267423013,1.494327390599676,Chalarangelo-30-seconds-of-code
1.0,1.3,0.375,283 days 19:37:52.725000,111.4,2.7,0.725,codecrafters-io-build-your-own-x
8.04652466367713,342.79660474055095,169.72277386290838,7 days 05:22:16.264654067,338.6458199871877,2.6531870595771943,1.255685458039718,denoland-deno
2.111111111111111,79.84444444444445,12.427777777777777,95 days 03:17:46.677777778,155.9,2.7111111111111112,1.8166666666666667,donnemartin-system-design-primer
1.528301886792453,14.358490566037736,8.075471698113208,49 days 11:26:46.377358490,792.566037735849,2.69811320754717,1.1886792452830188,f-awesome-chatgpt-prompts
5.810526315789474,195.61052631578949,32.242105263157896,100 days 19:06:00.621052632,317.37894736842105,3.0631578947368423,8.8,Genymobile-scrcpy
6.132768361581921,182.79661016949152,43.690677966101696,14 days 23:30:47.532485875,155.62853107344634,2.4420903954802258,1.8884180790960452,goldbergyoni-nodebestpractices
1.0263157894736843,5.342105263157895,2.9210526315789473,182 days 12:02:19.973684210,82.8157894736842,6.184210526315789,2.5526315789473686,Hack-with-Github-Awesome-Hacking
8.73751760838942,491.6267021443105,108.43207074659571,11 days 18:05:46.219674440,1288.750743465331,3.7441696666144937,3.256299890436688,huggingface-transformers
1.0,2.0,0.0,0 days 10:57:55,0.0,2.0,2.0,iptv-org-iptv
1.0,2.0,2.0,15 days 02:29:31,0.0,3.5,2.5,jackfrued-Python-100-Days
1.1304347826086956,385.6521739130435,154.04347826086956,329 days 17:24:54.173913044,88.26086956521739,3.8260869565217392,3.3043478260869565,jwasham-coding-interview-university
2.0,2.0,2.0,3 days 15:41:29,141.0,4.0,2.0,kamranahmedse-developer-roadmap
5.01025641025641,159.03846153846155,21.117948717948718,4 days 03:05:43.569230769,507.2474358974359,2.287179487179487,1.8256410256410256,krahets-hello-algo
4.2,194.9,168.6,0 days 08:24:47,59.0,2.0,2.1,labuladong-fucking-algorithm
7.473339329307465,446.5897468842349,231.24013876397277,14 days 14:29:20.111396633,497.92123859694203,2.892200950790184,2.1039444944108956,langchain-ai-langchain
1.0,16.0,11.0,2 days 05:58:54,144.0,3.0,0.5,massgravel-Microsoft-Activation-Scripts
11.280943811237753,534.8284343131373,212.5868826234753,6 days 07:56:22.926414717,1311.0369926014796,3.138972205558888,3.194361127774445,microsoft-PowerToys
8.317310026705512,377.00801165331393,834.1752852634135,18 days 03:14:21.194221898,879.040786598689,3.8460791454236465,4.377761592619568,microsoft-terminal
3.811946902654867,372.8495575221239,181.30973451327435,34 days 05:29:50.962389380,299.31637168141594,2.4911504424778763,1.4225663716814159,microsoft-Web-Dev-For-Beginners
1.0,3.6956521739130435,1.2173913043478262,336 days 09:52:51.652173912,96.43478260869566,3.217391304347826,1.4782608695652173,mtdvio-every-programmer-should-know
3.595923261390887,355.5287769784173,87.77218225419664,8 days 12:34:33.477218225,261.4292565947242,2.523381294964029,0.9046762589928058,ollama-ollama
26.755600403632695,194.2559031281534,148.09747729566095,7 days 09:38:08.147527749,1353.6280524722501,2.3350151362260343,1.0429868819374368,puppeteer-puppeteer
1.0,89.32352941176471,13.147058823529411,278 days 10:06:03.411764704,126.70588235294117,3.2941176470588234,3.5294117647058822,ryanmcdermott-clean-code-javascript
7.4271988174427195,643.4567627494457,94.03695491500369,21 days 10:39:42.827050997,1982.9682187730969,4.251293422025129,5.647450110864745,Significant-Gravitas-AutoGPT
10.42095238095238,603.1714285714286,458.51428571428573,5 days 03:38:13.432380952,2431.7638095238094,2.342857142857143,0.7828571428571428,tauri-apps-tauri
1.0,4.0,3.0,0 days 00:09:02,0.0,3.0,1.0,TheAlgorithms-Python
3.9375,205.8125,131.4375,41 days 07:42:13,169.5625,3.4375,3.6875,trekhleb-javascript-algorithms
1.0701754385964912,6.491228070175438,0.6666666666666666,75 days 20:26:23.087719298,96.17543859649123,4.245614035087719,1.631578947368421,trimstray-the-book-of-secret-knowledge
1.0,29.0,29.0,0 days 01:01:14,122.0,4.0,1.0,twbs-bootstrap
8.862941738299904,578.0986416215643,448.62182956595564,12 days 13:13:22.751777565,629.607237610103,3.1520216491563198,2.7860553963705827,vercel-next.js
1.1666666666666667,15.0,3.1666666666666665,0 days 13:11:23.166666666,31.833333333333332,2.0,2.5,yangshun-tech-interview-handbook
3.726831896551724,87.25646551724138,43.44396551724138,26 days 22:37:59.293103448,2827.247306034483,2.961206896551724,2.4913793103448274,yt-dlp-yt-dlp
